[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/4d/puffin-holding-coffee-mug.svg → 200 (20ms, 3824B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/59/puppy-holding-coffee-mug.svg → 200 (22ms, 4098B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/2a/rabbit-holding-coffee-mug.svg → 200 (21ms, 4214B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/a1/receptionist-coffee-mug.svg → 200 (21ms, 2859B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/8a/recruiter-coffee-mug.svg → 200 (21ms, 3157B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/a6/researcher-coffee-mug.svg → 200 (21ms, 3933B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/ea/reviewer-coffee-mug.svg → 200 (22ms, 3222B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/ed/robin-holding-coffee-mug.svg → 200 (22ms, 3959B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/04/sales-representative-coffee-mug.svg → 200 (22ms, 3718B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/ac/security-officer-coffee-mug.svg → 200 (23ms, 3601B)
[2026-08-14T10:37:24.354Z] GET http://127.0.0.1:4173/icons/sets/drawn/95/cartoon-butterfly-holding-coffee-mug.svg → 200 (23ms, 5798B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/56/cartoon-cafe.svg → 200 (23ms, 4431B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/d3/cartoon-cafetiere.svg → 200 (23ms, 4472B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/7a/sipping-coffee-desk.svg → 404 (23ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/4a/sitting-drinking-coffee.svg → 404 (24ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/91/sitting-windowsill.svg → 404 (24ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/be/sloth-hat-holding-coffee.svg → 404 (28ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/3d/snail-holding-coffee-mug.svg → 404 (27ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/bb/solid-coffee.svg → 404 (27ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/df/solid-coffee-break-cup.svg → 404 (29ms, 275B)
[2026-08-14T10:37:24.355Z] GET http://127.0.0.1:4173/icons/sets/drawn/b1/solid-coffee-cup.svg → 404 (28ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/1b/solid-coffee-maker.svg → 404 (26ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/4a/solid-french-press.svg → 404 (27ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/26/solutions-architect-coffee-mug.svg → 404 (27ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/f4/squirrel-holding-coffee-mug.svg → 404 (28ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/d1/stakeholder-coffee-mug.svg → 404 (28ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/ee/standing-holding-coffee.svg → 404 (28ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/f6/steam-wand.svg → 404 (29ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/8c/student-coffee-mug.svg → 404 (29ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/3f/subscriber-coffee-mug.svg → 404 (31ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/9d/sugar-bowl.svg → 404 (32ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/9d/sugar-cube.svg → 404 (34ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/ef/supervisor-coffee-mug.svg → 404 (33ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/aa/support-agent-coffee-mug.svg → 404 (35ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/3f/swan-holding-coffee-mug.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/2d/takeaway-cup.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.357Z] GET http://127.0.0.1:4173/icons/sets/drawn/67/tamper.svg → 404 (43ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/a1/tea-stain.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/08/teacher-coffee-mug.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/d0/team-lead-coffee-mug.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/89/technician-coffee-mug.svg → 404 (43ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/75/tester-badge.svg → 404 (43ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/93/tester-coffee-mug.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/88/thermos-flask.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/5b/toucan-holding-coffee-mug.svg → 404 (42ms, 275B)
[2026-08-14T10:37:24.358Z] GET http://127.0.0.1:4173/icons/sets/drawn/6f/trainer-coffee-mug.svg → 404 (43ms, 275B)
[2026-08-14T10:37:35.090Z] GET http://127.0.0.1:4173/icons/sets/drawn/b0/accountant-coffee-mug.svg → 200 (6ms, -191B)
[2026-08-14T10:38:48.710Z] GET http://127.0.0.1:4173/icons/sets/lucide/coffee.svg → 200 (3ms, 320B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-big-left.svg → 200 (2ms, 350B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-big-left-dash.svg → 200 (2ms, 367B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-down-left.svg → 200 (3ms, 209B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-left.svg → 200 (2ms, 211B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-left-from-line.svg → 200 (2ms, 229B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-left-right.svg → 200 (2ms, 254B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-left-to-line.svg → 200 (5ms, 229B)
[2026-08-14T10:38:48.878Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-right-left.svg → 200 (5ms, 254B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/arrow-up-left.svg → 200 (4ms, 209B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/circle-arrow-left.svg → 200 (6ms, 242B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/circle-arrow-out-down-left.svg → 200 (5ms, 245B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/circle-arrow-out-up-left.svg → 200 (6ms, 241B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/decimals-arrow-left.svg → 200 (7ms, 282B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/square-arrow-down-left.svg → 200 (7ms, 257B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/square-arrow-left.svg → 200 (7ms, 259B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/square-arrow-out-down-left.svg → 200 (8ms, 276B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/square-arrow-out-up-left.svg → 200 (8ms, 274B)
[2026-08-14T10:38:48.879Z] GET http://127.0.0.1:4173/icons/sets/lucide/square-arrow-up-left.svg → 200 (8ms, 257B)
[2026-08-14T10:39:08.431Z] GET http://127.0.0.1:4173/icons.html → 200 (1ms, ?B)
[2026-08-14T10:39:08.439Z] GET http://127.0.0.1:4173/dark-mode.js → 200 (?ms, -193B)
[2026-08-14T10:39:08.439Z] GET http://127.0.0.1:4173/tokens.css → 200 (?ms, -186B)
